Date,Type,residence,Positive,Negative,Total_Tests,Positive_Rate,Year,Month,Weekday
2020-12-26,Faculty/Staff,Non-Residential,0,61,61,0.0,2020,12,Saturday
2020-12-26,Students,Students - Non-Residential,0,74,74,0.0,2020,12,Saturday
2020-12-26,Students,Students - Residential,0,31,31,0.0,2020,12,Saturday
2020-12-27,Faculty/Staff,Non-Residential,1,56,57,1.75,2020,12,Sunday
2020-12-27,Students,Students - Non-Residential,0,70,70,0.0,2020,12,Sunday
2020-12-27,Students,Students - Residential,0,26,26,0.0,2020,12,Sunday
2020-12-28,Faculty/Staff,Non-Residential,4,121,125,3.2,2020,12,Monday
2020-12-28,Students,Students - Non-Residential,1,43,44,2.27,2020,12,Monday
2020-12-28,Students,Students - Residential,0,17,17,0.0,2020,12,Monday
2020-12-29,Faculty/Staff,Non-Residential,2,57,59,3.39,2020,12,Tuesday
2020-12-29,Students,Students - Non-Residential,0,57,57,0.0,2020,12,Tuesday
2020-12-29,Students,Students - Residential,1,29,30,3.33,2020,12,Tuesday
2020-12-30,Faculty/Staff,Non-Residential,5,111,116,4.31,2020,12,Wednesday
2020-12-30,Students,Students - Non-Residential,0,88,88,0.0,2020,12,Wednesday
2020-12-30,Students,Students - Residential,0,37,37,0.0,2020,12,Wednesday
2020-12-31,Faculty/Staff,Non-Residential,1,43,44,2.27,2020,12,Thursday
2020-12-31,Students,Students - Non-Residential,1,25,26,3.85,2020,12,Thursday
2020-12-31,Students,Students - Residential,0,5,5,0.0,2020,12,Thursday
2021-01-01,Faculty/Staff,Non-Residential,0,34,34,0.0,2021,1,Friday
2021-01-01,Students,Students - Non-Residential,0,23,23,0.0,2021,1,Friday
2021-01-01,Students,Students - Residential,0,15,15,0.0,2021,1,Friday
2021-01-02,Faculty/Staff,Non-Residential,0,8,8,0.0,2021,1,Saturday
2021-01-02,Students,Students - Non-Residential,2,45,47,4.26,2021,1,Saturday
2021-01-02,Students,Students - Residential,0,8,8,0.0,2021,1,Saturday
2021-01-03,Faculty/Staff,Non-Residential,0,39,39,0.0,2021,1,Sunday
2021-01-03,Students,Students - Non-Residential,1,73,74,1.35,2021,1,Sunday
2021-01-03,Students,Students - Residential,0,34,34,0.0,2021,1,Sunday
2021-01-04,Faculty/Staff,Non-Residential,4,163,167,2.4,2021,1,Monday
2021-01-04,Students,Students - Non-Residential,3,383,386,0.78,2021,1,Monday
2021-01-04,Students,Students - Residential,0,16,16,0.0,2021,1,Monday
2021-01-05,Faculty/Staff,Non-Residential,5,105,110,4.55,2021,1,Tuesday
2021-01-05,Students,Students - Non-Residential,5,167,172,2.91,2021,1,Tuesday
2021-01-05,Students,Students - Residential,1,46,47,2.13,2021,1,Tuesday
2021-01-06,Faculty/Staff,Non-Residential,10,136,146,6.85,2021,1,Wednesday
2021-01-06,Students,Students - Non-Residential,8,302,310,2.58,2021,1,Wednesday
2021-01-06,Students,Students - Residential,0,26,26,0.0,2021,1,Wednesday
2021-01-07,Faculty/Staff,Non-Residential,3,79,82,3.66,2021,1,Thursday
2021-01-07,Students,Students - Non-Residential,3,78,81,3.7,2021,1,Thursday
2021-01-07,Students,Students - Residential,0,22,22,0.0,2021,1,Thursday
2021-01-08,Faculty/Staff,Non-Residential,5,121,126,3.97,2021,1,Friday
2021-01-08,Students,Students - Non-Residential,2,139,141,1.42,2021,1,Friday
2021-01-08,Students,Students - Residential,0,29,29,0.0,2021,1,Friday
2021-01-09,Faculty/Staff,Non-Residential,1,3,4,25.0,2021,1,Saturday
2021-01-09,Students,Students - Non-Residential,2,16,18,11.11,2021,1,Saturday
